name,wc,n_fights,tier_label,tier_score,best_rank,ever_champion,max_defenses,dual_weight_champ,is_incumbent,win_rate,reach_cm,ko_rate,sig_per_r,sig_acc,str_def,leg_pct,clinch_pct,body_per_r,td_per_r,td_avg_acc,td_def,sub_rate,ctrl_per_r,gnp_per_r,pct_reach,pct_striking_power,pct_striking_volume,pct_striking_accuracy,pct_striking_defense,pct_leg_kicks,pct_clinch,pct_body,pct_td_frequency,pct_td_accuracy,pct_td_defense,pct_submission,pct_control,pct_ground_pound,x,y,z
Mansur Abdul-Malik,Middleweight,5,E,25,,False,0.0,False,False,1.0,203.2,0.4,10.1,0.4174,0.4357,0.0792,0.1584,0.9,0.5,33.0,0.9,0.2,29.8,4.1,9.6,9.27,2.51,3.77,1.58,2.51,6.89,1.48,6.7,4.25,9.6,8.21,3.34,9.06,0.7286,1.7169,-1.2311
Manuel Torres,Lightweight,6,D,36,13.0,False,0.0,False,False,0.8421052631578947,185.42,0.6667,17.0,0.5965,0.5111,0.0588,0.1373,4.833333333333333,0.3333,66.0,0.9,0.1667,15.5,3.1667,7.74,9.93,6.63,9.76,3.55,1.78,6.19,8.54,5.18,9.5,9.6,7.58,1.93,8.2,-1.7208,3.2714,-0.8919
Manvel Gamburyan,Featherweight,15,E,12,,False,0.0,False,False,0.6,170.18,0.0,8.2941,0.3977,0.5467,0.1986,0.234,1.3529411764705883,0.8824,34.0,0.6944,0.2,65.3529,1.1471,1.59,2.21,1.74,2.84,5.33,7.23,8.69,2.12,8.9,4.58,6.79,8.21,6.8,3.75,0.8566,-0.2593,0.1812
Mara Romero Borella,Women's Flyweight,7,E,10,,False,0.0,False,False,0.5714285714285714,175.26,0.0,11.1333,0.3795,0.7115,0.3174,0.0778,0.9333333333333333,0.5333,44.0,0.6667,0.1429,66.6667,1.1333,8.98,2.21,3.03,2.29,9.96,9.52,3.44,1.52,6.93,6.96,6.2,7.04,6.89,3.71,0.2971,-0.4573,-1.1577
Marc Diakiese,Lightweight,15,E,13,,False,0.0,False,False,0.7083333333333334,185.42,0.1333,11.8718,0.404,0.528,0.2527,0.0994,3.4358974358974357,1.0256,43.0,0.6667,0.0,90.1795,0.8205,7.74,4.94,3.45,3.12,4.39,8.76,4.43,6.43,9.33,6.76,6.2,3.07,8.48,2.63,0.1642,-0.8448,-0.1576
Marc-Andre Barriault,Middleweight,17,E,12,,False,0.0,False,False,0.6296296296296297,187.96,0.1765,25.5128,0.4704,0.492,0.0814,0.2774,5.0256410256410255,0.1026,28.0,0.6812,0.0588,27.9744,1.7692,4.24,6.24,9.58,6.24,2.78,2.58,9.23,8.69,2.25,3.32,6.5,5.38,3.11,5.46,-1.0809,-0.3992,0.6601
Marcin Prachnio,Light Heavyweight,11,E,11,,False,0.0,False,False,0.6538461538461539,185.42,0.0909,24.7083,0.5455,0.5457,0.3642,0.1602,8.375,0.0417,20.0,0.5312,0.0,9.9167,0.125,1.96,4.07,9.4,9.07,5.29,9.81,6.96,9.89,1.64,2.24,3.65,3.07,1.48,1.21,-1.3852,-1.546,0.2735
Marcin Tybura,Heavyweight,24,D+,43,7.0,False,0.0,False,False,0.7297297297297297,198.12,0.2083,16.2414,0.4821,0.552,0.1306,0.0977,3.586206896551724,0.3966,33.0,0.7073,0.0417,78.1034,3.4828,5.5,7.06,6.2,6.8,5.64,4.75,4.33,6.8,5.79,4.25,7.04,5.18,7.65,8.61,0.1209,-0.5206,0.2288
Marco Beltran,Bantamweight,6,E,9,,False,0.0,False,False,0.5714285714285714,175.26,0.0,9.5714,0.3754,0.6334,0.2164,0.2164,2.0714285714285716,0.2143,50.0,0.4615,0.1667,35.5714,1.8571,5.79,2.21,2.3,2.14,9.1,7.83,8.32,3.49,3.71,8.05,2.79,7.58,3.93,5.74,0.7117,-0.5592,-2.1023
Marco Polo Reyes,Lightweight,8,E,10,,False,0.0,False,False,0.5333333333333333,180.34,0.375,20.3077,0.3729,0.597,0.1212,0.0871,5.076923076923077,0.0,0.0,0.4667,0.0,18.3846,2.0,4.92,9.06,8.21,2.06,7.96,4.29,3.85,8.74,1.29,1.28,2.83,3.07,2.27,6.08,-1.7395,0.6264,0.012
