fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Albert Morales,Bantamweight,E,0.0,False,0.16666666666666666,16,2,0.8920863309352518,0.039568345323741004,0.0683453237410072,0.5863309352517986,0.10071942446043165,0.3129496402877698,0.3453416149068323,0.1875,0.375,45.75,0.0,0.0,50.3125
Albert Tumenov,Welterweight,D,1.0,False,0.625,17,4,0.8709677419354839,0.07168458781362007,0.05734767025089606,0.7992831541218638,0.15770609318996415,0.043010752688172046,0.42018072289156627,0.058823529411764705,0.2,9.588235294117647,0.0,0.29411764705882354,39.05882352941177
Alejandro Perez,Bantamweight,D,1.0,False,0.6153846153846154,30,2,0.7995824634655533,0.05845511482254697,0.1419624217118998,0.6179540709812108,0.12526096033402923,0.2567849686847599,0.35639880952380953,0.16666666666666666,0.22727272727272727,17.633333333333333,0.1,0.03333333333333333,44.8
Aleksandar Rakic,Light Heavyweight,C+,2.0,False,0.5454545454545454,26,2,0.6659793814432989,0.09690721649484536,0.23711340206185566,0.5237113402061856,0.15670103092783505,0.31958762886597936,0.5031120331950207,0.19230769230769232,0.21739130434782608,86.0,0.038461538461538464,0.15384615384615385,37.07692307692308
Aleksei Oleinik,Heavyweight,D+,0.0,False,0.5294117647058824,29,1,0.7,0.22631578947368422,0.07368421052631578,0.6289473684210526,0.2394736842105263,0.13157894736842105,0.48906048906048905,0.4827586206896552,0.4666666666666667,72.82758620689656,0.5172413793103449,0.06896551724137931,26.79310344827586
Alessandro Costa,Flyweight,E,0.0,False,0.5,15,2,0.7721518987341772,0.09282700421940929,0.1350210970464135,0.5864978902953587,0.1940928270042194,0.21940928270042195,0.48367346938775513,0.26666666666666666,0.26666666666666666,21.933333333333334,0.13333333333333333,0.2,32.666666666666664
Alessio Di Chirico,Middleweight,E,0.0,False,0.36363636363636365,26,2,0.8373333333333334,0.12,0.042666666666666665,0.6773333333333333,0.17866666666666667,0.144,0.3972457627118644,0.4230769230769231,0.39285714285714285,27.192307692307693,0.0,0.11538461538461539,36.30769230769231
Alessio Sakara,Middleweight,E,0.0,False,0.4,22,3,0.44481605351170567,0.18729096989966554,0.36789297658862874,0.8060200668896321,0.16387959866220736,0.030100334448160536,0.4776357827476038,0.5,0.7857142857142857,56.04545454545455,0.0,0.18181818181818182,28.454545454545453
Alex Caceres,Featherweight,D+,0.0,False,0.5333333333333333,77,4,0.859776168531929,0.08426596445029624,0.05595786701777485,0.6254114549045424,0.25082290980908495,0.12376563528637262,0.49967105263157896,0.16883116883116883,0.6842105263157895,34.41558441558441,0.2077922077922078,0.06493506493506493,39.48051948051948
Alex Garcia,Welterweight,E,0.0,False,0.5,25,0,0.7547169811320755,0.14150943396226415,0.10377358490566038,0.8301886792452831,0.1179245283018868,0.05188679245283019,0.3136094674556213,1.16,0.5272727272727272,78.12,0.04,0.12,27.04
Alex Morono,Welterweight,E,0.0,False,0.5416666666666666,60,2,0.8875358166189111,0.07234957020057306,0.04011461318051576,0.7979942693409742,0.13252148997134672,0.06948424068767908,0.3977207977207977,0.1,0.24,15.983333333333333,0.1,0.08333333333333333,58.5
Alex Oliveira,Welterweight,D,1.0,False,0.5238095238095238,49,1,0.5945945945945946,0.22575516693163752,0.17965023847376788,0.5659777424483307,0.25119236883942764,0.18282988871224165,0.5113821138211382,0.673469387755102,0.38372093023255816,85.04081632653062,0.16326530612244897,0.12244897959183673,25.102040816326532
Alex Pereira,Middleweight,S,10.0,True,0.8333333333333334,31,4,0.8087591240875912,0.10510948905109489,0.08613138686131387,0.47153284671532847,0.2613138686131387,0.2671532846715328,0.6210335448776065,0.03225806451612903,0.5,5.096774193548387,0.06451612903225806,0.22580645161290322,35.58064516129032
Alex Perez,Flyweight,C,0.0,False,0.5714285714285714,25,4,0.7247706422018348,0.13302752293577982,0.14220183486238533,0.5894495412844036,0.17660550458715596,0.23394495412844038,0.4678111587982833,0.6,0.4838709677419355,66.8,0.16,0.24,37.28
